,Asset 1,Asset 2,p-value,Start Time,End Time,Train Days,Test Days,Train Wallet,Test Wallet,Parameters,Train Sharpe Ratio,Test Sharpe Ratio,Backtesting_Period
0,AEURUSDT,EURIUSDT,3.1112254644796143e-10,2024-06-22 23:59:59.999000,2024-11-19 23:59:59.999000,150,50,10083.815374449934,9484.937499437621,"[0.5, 10]",-0.10268090173575344,-0.2275767446320398,1
1,ACAUSDT,BATUSDT,7.263026857258226e-9,2024-06-22 23:59:59.999000,2024-11-19 23:59:59.999000,150,50,14845.850096266271,11754.706973804281,"[0.5, 40]",0.18279160168320688,0.10977028338864617,1
2,IOSTUSDT,SCRTUSDT,2.7893179827020955e-8,2024-06-22 23:59:59.999000,2024-11-19 23:59:59.999000,150,50,18298.02712370662,12167.08370096285,"[1.5, 100]",0.12087063029682138,0.16425468440251725,1
3,ALPHAUSDT,RADUSDT,8.472614360921171e-8,2024-06-22 23:59:59.999000,2024-11-19 23:59:59.999000,150,50,10439.681107182249,13181.259504324744,"[1.0, 40]",0.0995495697152859,0.3565126734901727,1
4,CTKUSDT,TNSRUSDT,1.2721946011751055e-7,2024-06-22 23:59:59.999000,2024-11-19 23:59:59.999000,150,50,16772.96977404792,10579.89559943247,"[2.0, 70]",0.20783400638153382,0.10593552072668622,1
5,RADUSDT,SLPUSDT,1.6935100690308007e-7,2024-06-22 23:59:59.999000,2024-11-19 23:59:59.999000,150,50,24547.19407091391,11390.84640986663,"[0.5, 80]",0.29158626384481556,0.1264916095866275,1
6,CTSIUSDT,SCRTUSDT,2.3020741727663571e-7,2024-06-22 23:59:59.999000,2024-11-19 23:59:59.999000,150,50,15803.192978502266,13980.797120714862,"[0.5, 30]",0.19949759136549886,0.1837797438425566,1
7,SLFUSDT,VICUSDT,2.687392784050806e-7,2024-06-22 23:59:59.999000,2024-11-19 23:59:59.999000,150,50,10567.963832196012,11565.174446186184,"[0.5, 30]",0.04777400039114626,0.12728177789723338,1
8,ACAUSDT,FLOWUSDT,3.5888330457151983e-7,2024-06-22 23:59:59.999000,2024-11-19 23:59:59.999000,150,50,18061.341361933282,9723.757098851873,"[1.5, 60]",0.17995391361128305,-0.009332375890185983,1
9,ACEUSDT,JASMYUSDT,4.011680208571183e-7,2024-06-22 23:59:59.999000,2024-11-19 23:59:59.999000,150,50,17548.012950263008,8218.999312262362,"[0.5, 20]",0.20442342079410827,-0.06032789842995619,1
10,RADUSDT,TNSRUSDT,4.849035496693744e-7,2024-06-22 23:59:59.999000,2024-11-19 23:59:59.999000,150,50,14447.511154359134,11720.444439575662,"[2.0, 80]",0.14667428597782395,0.21742801125770644,1
11,PUNDIXUSDT,STRAXUSDT,7.105364884473391e-7,2024-06-22 23:59:59.999000,2024-11-19 23:59:59.999000,150,50,17710.204798353258,9536.876968480954,"[0.5, 40]",0.25021981373279734,-0.017696528034118666,1
12,MOVRUSDT,RVNUSDT,8.886868480990482e-7,2024-06-22 23:59:59.999000,2024-11-19 23:59:59.999000,150,50,14427.688206054167,10742.031546579048,"[1.5, 40]",0.24550299753208066,0.13891947085967102,1
13,LDOUSDT,XAIUSDT,0.0000012578624882441864,2024-06-22 23:59:59.999000,2024-11-19 23:59:59.999000,150,50,11473.48730359417,8335.807443926056,"[1.5, 130]",0.14734863257651812,-0.15508469481745982,1
14,KAVAUSDT,MTLUSDT,0.000001375900891876863,2024-06-22 23:59:59.999000,2024-11-19 23:59:59.999000,150,50,14640.24709519028,10059.526247610731,"[2.0, 40]",0.21524476594406317,0.0048590315421989955,1
15,GLMRUSDT,KNCUSDT,0.0000019815928882768445,2024-06-22 23:59:59.999000,2024-11-19 23:59:59.999000,150,50,16408.216038415685,11085.21479242033,"[0.5, 40]",0.27244020343989983,0.1083682516457151,1
16,CTKUSDT,LINKUSDT,0.000003642566929624082,2024-06-22 23:59:59.999000,2024-11-19 23:59:59.999000,150,50,18005.690023443418,9767.996239179543,"[1.5, 40]",0.2100943379106003,-0.027763534586324683,1
