,Asset 1,Asset 2,p-value,Start Time,End Time,Train Days,Test Days,Train Wallet,Test Wallet,Parameters,Train Sharpe Ratio,Test Sharpe Ratio,Backtesting_Period
0,AEURUSDT,EURIUSDT,3.1112254644796143e-10,1719100799999,1732060799999,150,50,10004.093461119828,9892.127367335943,"[2.0, 10]",-1.9234022327233329,-0.06624957728584012,1
1,ACAUSDT,BATUSDT,7.263026857258226e-9,1719100799999,1732060799999,150,50,17086.366794582016,11775.12629805162,"[2.0, 30]",0.14551759959720884,0.20333547011702582,1
2,IOSTUSDT,SCRTUSDT,2.7893179827020955e-8,1719100799999,1732060799999,150,50,12468.019887821793,7662.273311827457,"[2.0, 80]",0.14404733221428911,-0.06260931086594375,1
3,ALPHAUSDT,RADUSDT,8.472614360921171e-8,1719100799999,1732060799999,150,50,11642.2199009156,10464.49652366721,"[2.0, 130]",0.10447711703862377,0.05324056193244401,1
4,CTKUSDT,TNSRUSDT,1.2721946011751055e-7,1719100799999,1732060799999,150,50,17584.794828119524,9752.557326564334,"[2.0, 40]",0.15086981623575016,-0.07431868207771436,1
5,RADUSDT,SLPUSDT,1.6935100690308007e-7,1719100799999,1732060799999,150,50,13367.770369855889,9327.771714169612,"[2.0, 40]",0.18585657951206366,-0.09171325977802375,1
6,CTSIUSDT,SCRTUSDT,2.3020741727663571e-7,1719100799999,1732060799999,150,50,13253.315744585669,11188.14879795775,"[2.0, 10]",0.15417804540215482,0.1344368899399765,1
7,SLFUSDT,VICUSDT,2.687392784050806e-7,1719100799999,1732060799999,150,50,10711.018491302862,10733.506300272984,"[2.0, 10]",0.03695362375608603,0.14138393325872986,1
8,ACAUSDT,FLOWUSDT,3.5888330457151983e-7,1719100799999,1732060799999,150,50,14834.56664970196,11975.090740937423,"[2.0, 50]",0.16814177474436878,0.16507026611155384,1
9,ACEUSDT,JASMYUSDT,4.011680208571183e-7,1719100799999,1732060799999,150,50,11281.720871708672,7516.875145968844,"[2.0, 10]",0.18542168896023492,-0.12329278488366484,1
10,RADUSDT,TNSRUSDT,4.849035496693744e-7,1719100799999,1732060799999,150,50,16041.13650481975,10003.68298032321,"[2.0, 40]",0.15075129988577618,0.0027320492151242286,1
11,PUNDIXUSDT,STRAXUSDT,7.105364884473391e-7,1719100799999,1732060799999,150,50,11703.023267857043,10617.300491142663,"[2.0, 20]",0.17471799362488238,0.06248884595911998,1
12,MOVRUSDT,RVNUSDT,8.886868480990482e-7,1719100799999,1732060799999,150,50,14822.236828293448,10418.584545656762,"[2.0, 30]",0.19427687232890045,0.09021585289765043,1
13,LDOUSDT,XAIUSDT,0.0000012578624882441864,1719100799999,1732060799999,150,50,12120.877690356247,10000,"[2.0, 10]",0.14463220991430562,-Infinity,1
14,KAVAUSDT,MTLUSDT,0.000001375900891876863,1719100799999,1732060799999,150,50,11273.503739902133,9981.379418703167,"[2.0, 20]",0.11467351202900415,-0.03910138231088446,1
15,GLMRUSDT,KNCUSDT,0.0000019815928882768445,1719100799999,1732060799999,150,50,13309.391375001907,10346.228506876127,"[2.0, 20]",0.1844310004547756,0.0709048448278838,1
16,CTKUSDT,LINKUSDT,0.000003642566929624082,1719100799999,1732060799999,150,50,16649.5418088461,9381.544558679374,"[2.0, 40]",0.18318636146999887,-0.10250115748008293,1
