,Asset 1,Asset 2,p-value,Start Time,End Time,Train Days,Test Days,Train Wallet,Test Wallet,Parameters,Train Sharpe Ratio,Test Sharpe Ratio,Backtesting_Period
0,AEURUSDT,EURIUSDT,3.1112254644796143e-10,1719100799999,1732060799999,150,50,10000,9953.50808595848,"[2.0, 50]",-Infinity,-0.03928194986743608,1
1,ACAUSDT,BATUSDT,7.263026857258226e-9,1719100799999,1732060799999,150,50,11811.641443671078,12546.244554108765,"[2.0, 50]",0.08339755412351076,0.19703928890086772,1
2,IOSTUSDT,SCRTUSDT,2.7893179827020955e-8,1719100799999,1732060799999,150,50,18502.54399267643,7465.759594038343,"[2.0, 50]",0.12718238714507718,-0.0715332727474699,1
3,ALPHAUSDT,RADUSDT,8.472614360921171e-8,1719100799999,1732060799999,150,50,12922.492779842773,10022.76542645836,"[2.0, 50]",0.11509535708293206,0.00024622056621401205,1
4,CTKUSDT,TNSRUSDT,1.2721946011751055e-7,1719100799999,1732060799999,150,50,12012.335320509206,10509.536724964639,"[2.0, 50]",0.09863397543779544,0.10228261973670616,1
5,RADUSDT,SLPUSDT,1.6935100690308007e-7,1719100799999,1732060799999,150,50,14310.920263666361,8981.960770509628,"[2.0, 50]",0.22256127336347534,-0.13247907602890466,1
6,CTSIUSDT,SCRTUSDT,2.3020741727663571e-7,1719100799999,1732060799999,150,50,11964.66173264042,7448.626243169552,"[2.0, 50]",0.10570367473483065,-0.07233339026228816,1
7,SLFUSDT,VICUSDT,2.687392784050806e-7,1719100799999,1732060799999,150,50,10000,10874.48978675729,"[2.0, 50]",-Infinity,0.11809196263157794,1
8,ACAUSDT,FLOWUSDT,3.5888330457151983e-7,1719100799999,1732060799999,150,50,14834.56664970196,11975.090740937423,"[2.0, 50]",0.1329284452826962,0.16507026611155384,1
9,ACEUSDT,JASMYUSDT,4.011680208571183e-7,1719100799999,1732060799999,150,50,10520.166804576484,8855.953262522396,"[2.0, 50]",0.023364663110180383,-0.03992440704201141,1
10,RADUSDT,TNSRUSDT,4.849035496693744e-7,1719100799999,1732060799999,150,50,12487.727026546272,10274.770702595353,"[2.0, 50]",0.11972093785419582,0.044210457990346265,1
11,PUNDIXUSDT,STRAXUSDT,7.105364884473391e-7,1719100799999,1732060799999,150,50,11448.874572088962,10423.7243007602,"[2.0, 50]",0.11983659328957764,0.04043578369067871,1
12,MOVRUSDT,RVNUSDT,8.886868480990482e-7,1719100799999,1732060799999,150,50,10540.028158433919,10955.89735357908,"[2.0, 50]",0.04047894681332626,0.19911542839511057,1
13,LDOUSDT,XAIUSDT,0.0000012578624882441864,1719100799999,1732060799999,150,50,11907.501788505087,9116.677469055374,"[2.0, 50]",0.11130387304317481,-0.07131380397286129,1
14,KAVAUSDT,MTLUSDT,0.000001375900891876863,1719100799999,1732060799999,150,50,10454.148392833944,10206.864850151605,"[2.0, 50]",0.032814808017864044,0.04098827450862461,1
15,GLMRUSDT,KNCUSDT,0.0000019815928882768445,1719100799999,1732060799999,150,50,12267.568858660388,9069.52346146774,"[2.0, 50]",0.13078814850401346,-0.10156865874259442,1
16,CTKUSDT,LINKUSDT,0.000003642566929624082,1719100799999,1732060799999,150,50,13733.526973115346,9655.919556908782,"[2.0, 50]",0.18260506366807353,-0.04558962808368764,1
17,QKCUSDT,TONUSDT,0.000004666982458393902,1719100799999,1732060799999,150,50,10000,11705.89931970426,"[2.0, 50]",-Infinity,0.2651699759944371,1
18,GLMRUSDT,IOUSDT,0.000005448471373632737,1719100799999,1732060799999,150,50,10774.226853766344,11756.830294271984,"[2.0, 50]",0.06638297719970822,0.14907692324211813,1
19,FXSUSDT,TRBUSDT,0.0000068066345581924005,1719100799999,1732060799999,150,50,13337.953370445894,8845.901066827744,"[2.0, 50]",0.08236987914342493,-0.15450602242309192,1
20,ETHFIUSDT,LISTAUSDT,0.000008030080426880616,1719100799999,1732060799999,150,50,11058.768944428206,11161.90065737451,"[2.0, 50]",0.1021512130586559,0.1629713028269238,1
21,HIVEUSDT,ZILUSDT,0.000008832064299047985,1719100799999,1732060799999,150,50,11692.967821022652,10390.368839993398,"[2.0, 50]",0.09021840669433406,0.035461967218257257,1
22,AMPUSDT,RENDERUSDT,0.000008923390568088593,1719100799999,1732060799999,150,50,10496.16158632317,8913.185910947881,"[2.0, 50]",0.06952104920054969,-0.06989864182053795,1
23,MTLUSDT,POLYXUSDT,0.000010548396861122049,1719100799999,1732060799999,150,50,10852.256067996372,10283.298562294016,"[2.0, 50]",0.0683799281173933,0.06702784290199593,1
24,AMPUSDT,GLMRUSDT,0.00001229237521004337,1719100799999,1732060799999,150,50,11961.318436806176,11469.622188503157,"[2.0, 50]",0.09045490365914663,0.09934927947516972,1
25,ARDRUSDT,SUIUSDT,0.000012489136272770676,1719100799999,1732060799999,150,50,10356.535945280903,10566.111207486327,"[2.0, 50]",0.017732561375626253,0.07211479433782751,1
26,ALCXUSDT,SPELLUSDT,0.000012566357647768853,1719100799999,1732060799999,150,50,11811.103526684625,10015.563070113414,"[2.0, 50]",0.10325513920724487,-0.0294040721504903,1
27,CTSIUSDT,IOUSDT,0.000013221091479086988,1719100799999,1732060799999,150,50,10047.674974312653,10167.526496481449,"[2.0, 50]",-0.011774917201308145,0.022224731519327617,1
28,IOUSDT,SNXUSDT,0.000013680464647380748,1719100799999,1732060799999,150,50,10432.0187409874,12008.060594331173,"[2.0, 50]",0.04598695932723061,0.23175008349031434,1
29,AUDIOUSDT,FLMUSDT,0.00001442103484300229,1719100799999,1732060799999,150,50,11022.659965659506,10933.017540641427,"[2.0, 50]",0.08782642936880815,0.26295849623492595,1
30,HOTUSDT,MOVRUSDT,0.00001709993191255718,1719100799999,1732060799999,150,50,11963.592380981414,11250.334834835798,"[2.0, 50]",0.16113533215523596,0.1276133063624921,1
